INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-3.9512723402734222, -4.148937916848881, -0.9329400316327217, -4.297257875238561, 1.0199080657976616, -1.292235710970556, 2.033855390776285, -4.105479859037723, 0.6778040998091814, 7.056106039397859]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [5, 12, 11, 6, 6, 7, 12, 6, 9, 10], "hlc": [921713, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [5, 11, 11, 6, 8, 7, 8, 6, 15, 5], "hlc": [921711, 12]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [12, 9, 7, 3, 10, 11, 4, 8, 8, 7], "hlc": [921712, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [9, 11, 17, 6, 7, 14, 9, 8, 13, 7], "hlc": [921712, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 11, 17, 6, 9, 15, 9, 8, 13, 7], "hlc": [921712, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [5, 11, 11, 6, 8, 7, 8, 12, 15, 5], "hlc": [921711, 13]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [11, 9, 11, 10, 7, 11, 8, 11, 11, 12], "hlc": [921714, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [11, 12, 11, 10, 7, 11, 12, 11, 11, 13], "hlc": [921714, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [0, 13, 1, 6, 0, 7, 5, 3, 0, 3], "hlc": [921710, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [5, 8, 11, 11, 6, 7, 8, 11, 11, 8], "hlc": [921712, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [12, 9, 7, 3, 11, 11, 4, 8, 8, 7], "hlc": [921712, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [5, 11, 11, 6, 8, 7, 8, 13, 15, 5], "hlc": [921711, 14]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [5, 11, 11, 6, 8, 7, 8, 6, 16, 5], "hlc": [921711, 13]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [13, 13, 7, 6, 7, 11, 5, 8, 8, 7], "hlc": [921712, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [5, 11, 11, 12, 8, 7, 8, 11, 16, 8], "hlc": [921712, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [5, 12, 11, 11, 6, 7, 13, 11, 11, 10], "hlc": [921713, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [12, 12, 11, 10, 11, 11, 12, 11, 11, 14], "hlc": [921715, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [12, 12, 11, 10, 11, 11, 12, 13, 15, 15], "hlc": [921715, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [14, 13, 7, 6, 7, 11, 5, 8, 8, 7], "hlc": [921712, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [0, 14, 1, 6, 0, 7, 5, 3, 0, 3], "hlc": [921710, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [9, 11, 18, 6, 7, 12, 9, 8, 13, 7], "hlc": [921712, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [12, 9, 7, 3, 12, 11, 4, 8, 8, 7], "hlc": [921712, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [9, 11, 17, 6, 9, 16, 9, 8, 13, 7], "hlc": [921712, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [5, 12, 11, 11, 6, 7, 14, 11, 11, 10], "hlc": [921713, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [5, 11, 11, 6, 8, 7, 8, 6, 17, 5], "hlc": [921711, 14]}
