INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [7.585987728563396, 1.6008081178491516, 6.979053081027349, -7.010896705543091, -1.2409630720320397, 4.269954115470581, 1.294701968697499, 3.6050461764102018, 7.776180883511692, 5.414677225620519]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [10, 9, 10, 13, 13, 6, 10, 7, 5, 5], "hlc": [921725, 13]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [10, 9, 11, 3, 9, 11, 7, 1, 3, 4], "hlc": [921726, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [7, 6, 4, 7, 6, 8, 12, 4, 12, 5], "hlc": [921727, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [14, 11, 7, 10, 10, 8, 12, 7, 11, 15], "hlc": [921727, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [10, 13, 13, 6, 9, 11, 14, 4, 7, 8], "hlc": [921727, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [10, 9, 10, 14, 11, 8, 12, 7, 12, 5], "hlc": [921727, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [14, 11, 10, 15, 11, 8, 12, 7, 12, 15], "hlc": [921727, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [10, 9, 10, 13, 13, 8, 12, 7, 13, 5], "hlc": [921728, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [7, 14, 4, 6, 6, 7, 14, 4, 7, 8], "hlc": [921725, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [10, 13, 14, 6, 9, 11, 14, 4, 7, 8], "hlc": [921727, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [14, 11, 10, 16, 11, 8, 12, 7, 12, 15], "hlc": [921727, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [13, 11, 7, 10, 10, 9, 17, 7, 7, 12], "hlc": [921726, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [2, 6, 4, 4, 0, 3, 10, 9, 0, 5], "hlc": [921724, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [16, 11, 7, 10, 10, 9, 17, 8, 7, 12], "hlc": [921728, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [14, 11, 10, 17, 11, 8, 12, 9, 12, 15], "hlc": [921727, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [10, 13, 14, 13, 13, 11, 14, 7, 14, 8], "hlc": [921728, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [14, 13, 14, 16, 13, 11, 14, 7, 15, 15], "hlc": [921728, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [14, 14, 7, 10, 10, 8, 14, 7, 11, 16], "hlc": [921727, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [17, 11, 7, 10, 10, 9, 17, 8, 7, 12], "hlc": [921728, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [14, 11, 10, 18, 11, 8, 12, 9, 12, 15], "hlc": [921727, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [10, 9, 10, 13, 14, 6, 10, 7, 5, 5], "hlc": [921725, 14]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [2, 6, 4, 4, 0, 3, 10, 10, 0, 5], "hlc": [921724, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [14, 13, 14, 16, 13, 11, 14, 7, 16, 15], "hlc": [921728, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [14, 14, 7, 10, 10, 8, 14, 7, 11, 17], "hlc": [921727, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [18, 11, 7, 10, 10, 9, 17, 10, 7, 12], "hlc": [921729, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [19, 14, 7, 10, 10, 9, 17, 10, 11, 17], "hlc": [921729, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [17, 11, 11, 10, 10, 12, 17, 8, 7, 12], "hlc": [921728, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [14, 13, 14, 16, 13, 11, 18, 7, 16, 15], "hlc": [921728, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [14, 14, 10, 18, 11, 8, 14, 9, 12, 18], "hlc": [921727, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [14, 14, 10, 18, 14, 8, 14, 9, 12, 19], "hlc": [921727, 9]}
