INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [2.691747569997812, 5.766260455693281, 1.8248642289621273, 5.910631307849949, 2.0275529149367966, -0.32321109747315546, 3.9098515593894163, 2.0810472525036445, 2.590956422298211, 1.5587843491192945]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [13, 7, 13, 5, 14, 10, 7, 13, 5, 16], "hlc": [921696, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [7, 7, 12, 3, 10, 6, 9, 7, 1, 17], "hlc": [921696, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [8, 15, 17, 5, 15, 4, 4, 11, 6, 7], "hlc": [921699, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [8, 9, 23, 7, 11, 6, 8, 9, 3, 10], "hlc": [921697, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [9, 9, 22, 12, 11, 6, 8, 9, 9, 10], "hlc": [921699, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [11, 5, 19, 7, 18, 6, 4, 9, 8, 10], "hlc": [921697, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [10, 14, 17, 5, 15, 14, 4, 11, 6, 7], "hlc": [921698, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [7, 7, 12, 3, 10, 6, 9, 7, 1, 18], "hlc": [921696, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [14, 15, 17, 5, 15, 10, 4, 11, 6, 7], "hlc": [921699, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [8, 16, 23, 7, 15, 6, 8, 11, 6, 10], "hlc": [921699, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [10, 17, 23, 7, 15, 14, 8, 11, 6, 10], "hlc": [921699, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [10, 14, 17, 5, 15, 15, 9, 11, 6, 18], "hlc": [921698, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [13, 9, 22, 12, 14, 10, 8, 14, 9, 16], "hlc": [921699, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [11, 5, 19, 7, 18, 6, 4, 9, 10, 10], "hlc": [921697, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [15, 15, 17, 5, 15, 10, 4, 11, 6, 7], "hlc": [921699, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [10, 18, 23, 7, 15, 14, 8, 11, 6, 10], "hlc": [921699, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [8, 9, 24, 7, 11, 6, 8, 9, 3, 10], "hlc": [921697, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [9, 9, 22, 13, 11, 6, 8, 9, 9, 10], "hlc": [921699, 3]}
