INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [11, 4, 6, 1, 7, 10, 7, 10, 4, 9], "hlc": [921531, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [6, 7, 10, 17, 5, 9, 12, 6, 8, 12], "hlc": [921529, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [13, 15, 9, 13, 11, 10, 11, 7, 7, 10], "hlc": [921529, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [8, 16, 9, 13, 11, 9, 11, 7, 7, 10], "hlc": [921529, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [2, 12, 13, 9, 8, 12, 11, 7, 7, 5], "hlc": [921530, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [9, 6, 11, 15, 16, 9, 8, 6, 10, 5], "hlc": [921528, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [2, 12, 9, 9, 8, 14, 13, 7, 7, 5], "hlc": [921530, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [11, 4, 6, 1, 7, 10, 7, 11, 4, 9], "hlc": [921531, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [6, 7, 10, 17, 5, 9, 12, 6, 8, 13], "hlc": [921529, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [8, 17, 9, 13, 11, 14, 13, 7, 7, 10], "hlc": [921530, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [13, 15, 11, 19, 14, 10, 12, 7, 7, 10], "hlc": [921530, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [9, 12, 13, 15, 17, 12, 11, 7, 10, 5], "hlc": [921530, 4]}
