INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [1.0429606020280868, 5.919042147848273, -6.419345840661828, -0.515299478874538, 1.967350383842163, 0.10465308786227112, 4.095690795666412, -0.6063859378507788, -4.225248802207043, -0.6938742573471259]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [8, 7, 8, 10, 5, 3, 5, 4, 2, 1], "hlc": [921695, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [9, 7, 8, 1, 8, 7, 4, 4, 2, 4], "hlc": [921695, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [9, 7, 8, 8, 5, 11, 11, 4, 6, 4], "hlc": [921695, 12]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [8, 7, 9, 8, 5, 3, 13, 4, 6, 6], "hlc": [921696, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 12, 3], "hlc": [921695, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [0, 3, 9, 0, 1, 1, 4, 2, 2, 7], "hlc": [921694, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [9, 7, 8, 11, 5, 11, 11, 4, 6, 4], "hlc": [921695, 13]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [9, 7, 8, 8, 5, 12, 11, 4, 12, 4], "hlc": [921695, 13]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [9, 7, 9, 8, 5, 13, 11, 4, 12, 7], "hlc": [921695, 14]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [9, 7, 9, 8, 8, 7, 14, 4, 6, 6], "hlc": [921696, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [11, 14, 15, 7, 7, 8, 9, 13, 11, 4], "hlc": [921698, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [11, 14, 18, 9, 7, 9, 9, 14, 11, 4], "hlc": [921698, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [11, 14, 18, 10, 7, 9, 9, 15, 11, 4], "hlc": [921698, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [8, 7, 9, 8, 5, 3, 13, 4, 6, 8], "hlc": [921696, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [11, 15, 15, 7, 7, 8, 9, 12, 11, 4], "hlc": [921698, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [11, 14, 18, 10, 7, 9, 9, 16, 11, 4], "hlc": [921698, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 13, 3], "hlc": [921695, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [8, 7, 9, 8, 5, 3, 13, 4, 6, 9], "hlc": [921696, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [11, 16, 15, 8, 7, 8, 13, 12, 11, 9], "hlc": [921699, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [11, 14, 19, 10, 7, 9, 9, 16, 11, 4], "hlc": [921698, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [11, 15, 15, 12, 7, 11, 11, 12, 11, 4], "hlc": [921698, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [11, 15, 15, 13, 7, 11, 11, 12, 13, 4], "hlc": [921698, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [11, 17, 15, 8, 7, 8, 13, 12, 11, 9], "hlc": [921699, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [11, 15, 15, 14, 7, 11, 11, 12, 13, 4], "hlc": [921698, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 14, 3], "hlc": [921695, 12]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [12, 17, 15, 8, 7, 8, 13, 12, 11, 9], "hlc": [921699, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [11, 15, 20, 14, 7, 11, 11, 16, 13, 4], "hlc": [921698, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [9, 7, 8, 7, 9, 7, 6, 4, 14, 4], "hlc": [921695, 13]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [13, 17, 15, 8, 7, 8, 13, 12, 11, 9], "hlc": [921699, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [11, 18, 15, 8, 7, 8, 13, 12, 11, 9], "hlc": [921699, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [9, 7, 8, 7, 10, 7, 6, 4, 14, 4], "hlc": [921695, 14]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [9, 7, 9, 8, 8, 7, 15, 4, 6, 6], "hlc": [921697, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 15, 3], "hlc": [921695, 13]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [11, 15, 21, 14, 10, 11, 11, 16, 14, 4], "hlc": [921698, 9]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [11, 18, 15, 8, 8, 8, 16, 12, 11, 9], "hlc": [921699, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [11, 18, 15, 8, 8, 8, 17, 12, 15, 9], "hlc": [921699, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [13, 17, 18, 10, 7, 9, 13, 17, 11, 9], "hlc": [921699, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [9, 7, 9, 8, 8, 7, 15, 4, 6, 10], "hlc": [921697, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [11, 15, 22, 14, 10, 11, 11, 16, 14, 4], "hlc": [921698, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [9, 7, 8, 7, 11, 7, 6, 4, 14, 4], "hlc": [921696, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [9, 7, 9, 8, 5, 14, 11, 4, 12, 7], "hlc": [921695, 15]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [9, 7, 9, 8, 8, 7, 15, 4, 6, 11], "hlc": [921697, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [11, 15, 15, 15, 7, 14, 11, 12, 13, 7], "hlc": [921698, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [9, 7, 9, 8, 12, 7, 15, 4, 14, 11], "hlc": [921697, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [11, 18, 22, 14, 10, 11, 18, 16, 15, 9], "hlc": [921699, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [13, 17, 18, 10, 11, 9, 13, 18, 14, 9], "hlc": [921699, 5]}
