INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-4.638606445797713, -6.427616644881452, 1.5725137029544118, 7.514017403388451, -6.145261678004413, -4.589303175339167, -4.7199962091575625, -4.427077492702441, 1.0650484831497238, 3.2060777881459046]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [15, 4, 6, 7, 1, 4, 8, 0, 14, 8], "hlc": [921724, 15]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [5, 6, 6, 17, 10, 10, 8, 5, 13, 13], "hlc": [921730, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [13, 11, 6, 12, 13, 10, 15, 9, 19, 13], "hlc": [921726, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [9, 11, 11, 16, 11, 18, 10, 7, 16, 13], "hlc": [921729, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [4, 6, 5, 10, 5, 10, 5, 5, 7, 14], "hlc": [921725, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [9, 11, 11, 18, 11, 18, 10, 7, 16, 13], "hlc": [921730, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [15, 11, 11, 16, 11, 19, 10, 7, 16, 13], "hlc": [921729, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [15, 11, 11, 16, 13, 20, 15, 9, 19, 13], "hlc": [921729, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [13, 11, 6, 12, 7, 10, 15, 9, 21, 14], "hlc": [921726, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [5, 6, 6, 17, 10, 10, 8, 5, 13, 15], "hlc": [921730, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [13, 11, 6, 12, 14, 10, 15, 9, 19, 13], "hlc": [921726, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [15, 11, 11, 16, 13, 21, 15, 9, 19, 13], "hlc": [921729, 8]}
